dataset_name,measure_name,num_stacks_used,native_avg_time_per_slice_sec,avg_time_per_slice_sec_128,avg_time_per_slice_sec_512,avg_time_per_slice_sec_1024
WBC,Tenengrad,10,0.00014588766091037543,8.190245978767052e-05,0.0020465896392124704,0.007715323960583192
TBI,Tenengrad,10,0.028061418440483977,0.00016770608024671674,0.0009807355407974684,0.0035180638189194723
PBS,Tenengrad,10,0.02327231269940967,0.00016184200008865447,0.0009045868794783019,0.003356450459396001
BMA,Tenengrad,10,0.02351105283974903,0.00015553947945591063,0.0008375155800604262,0.0033640361009747723
TBF,Tenengrad,10,0.023266404980095103,0.00017595478042494505,0.0009008407813962549,0.0032809716585325078
WBC,Brenner Gradient,10,8.488033985486254e-05,3.984441893408075e-05,0.00041419736022362485,0.0015692213381407782
TBI,Brenner Gradient,10,0.014494865460146684,0.00010666351940017194,0.0005032644010498188,0.0018158450411283411
PBS,Brenner Gradient,10,0.011920552160881925,0.00010101682069944217,0.0004637789202388376,0.0017465460003586485
BMA,Brenner Gradient,10,0.013260945500223897,0.00010676892037736252,0.00048170335910981523,0.0017208650193060748
TBF,Brenner Gradient,10,0.013709275820583572,0.00011071960063418373,0.0004617104207864031,0.0019770818200777283
WBC,Variance of Laplacian,10,9.309397952165454e-05,7.48691798071377e-05,0.00048096652084495873,0.002191042358754203
TBI,Variance of Laplacian,10,0.02037606496043736,0.0002306887591839768,0.0007203769404441118,0.0024786021394538693
PBS,Variance of Laplacian,10,0.018654871458129493,0.00021607361937640236,0.0007040615795995109,0.0024379504792159425
BMA,Variance of Laplacian,10,0.01753889095998602,0.00021996511990437283,0.0007377771407482215,0.0026499189413152634
TBF,Variance of Laplacian,10,0.018511879900470377,0.0002209520002361387,0.0007575690990779549,0.00260788276034873
WBC,Sum Modified Laplacian,10,0.00017759199952706694,8.49411787930876e-05,0.0031938715805881657,0.0046942959996522406
TBI,Sum Modified Laplacian,10,0.041044949519564396,0.00023306069924728946,0.0014257182384608312,0.005453904579044319
PBS,Sum Modified Laplacian,10,0.03899905316182412,0.0002053693012567237,0.0012801392792607658,0.005091320039937273
BMA,Sum Modified Laplacian,10,0.03968643486034125,0.00021354240219807253,0.001299312100163661,0.005090154039498885
TBF,Sum Modified Laplacian,10,0.040216300679021516,0.0002042648388305679,0.001270657640416175,0.005169902441266459
WBC,Normalized Variance,10,0.000130741479806602,8.94285595859401e-05,0.0004531849198974669,0.0018388467995100655
TBI,Normalized Variance,10,0.018182878401712513,0.00020861711964244024,0.0006542946599074639,0.002289316500246059
PBS,Normalized Variance,10,0.01600545119814342,0.00020287821971578523,0.0006397695187479258,0.002133893720165361
BMA,Normalized Variance,10,0.015791189720621334,0.0001957662188215181,0.0006203198203002103,0.0021995375995174983
TBF,Normalized Variance,10,0.015666744420013857,0.00020193340023979544,0.0006292078993283212,0.0022051125590223817
WBC,Energy of Gradient,10,9.140283917076886e-05,4.612069926224649e-05,0.000780086179729551,0.00300246570201125
TBI,Energy of Gradient,10,0.025742688160389663,0.000174209599790629,0.0008872177597368136,0.0032840057811699807
PBS,Energy of Gradient,10,0.02343185355857713,0.00021683367987861856,0.0009182329001487233,0.003326431641180534
BMA,Energy of Gradient,10,0.02258698814024683,0.00017085559928091244,0.0008921408010064625,0.0034703891605022364
TBF,Energy of Gradient,10,0.02485205889941426,0.00016899708076380195,0.0008945202000904828,0.00349220215837704
WBC,Histogram Entropy,10,0.00028678745904471727,0.00019629704009275885,0.0018154683589818887,0.006978939360124059
TBI,Histogram Entropy,10,0.04465372130071046,0.00041277476004324853,0.002133660199760925,0.007521572879632003
PBS,Histogram Entropy,10,0.04090907412028173,0.00040301715926034377,0.002210084420221392,0.007676004019740504
BMA,Histogram Entropy,10,0.04141325604083249,0.0004040428984444588,0.0021981441203388387,0.007667862439411692
TBF,Histogram Entropy,10,0.01277107093919767,0.00040633382042869925,0.002237451440305449,0.007563811278669163
WBC,GLCM Contrast,10,0.010272618040035012,0.004166109561338089,0.06744510010088561,0.27618231483909766
TBI,GLCM Contrast,10,1.5432091650977964,0.004470774740038905,0.0677564682206139,0.2679311185984989
PBS,GLCM Contrast,10,1.5017285277004704,0.004797088278864976,0.07068488759861793,0.2904281815388822
BMA,GLCM Contrast,10,1.430109462561959,0.004498845899652224,0.06857126662100199,0.27036003272020026
TBF,GLCM Contrast,10,1.4246066494178375,0.004461440921295435,0.06736756316007814,0.2753254507208476
WBC,Variance of Gradient,10,0.00014231927925720811,8.1870119611267e-05,0.0011097774206427857,0.004508505159756169
TBI,Variance of Gradient,10,0.03133132671995554,0.00026978820009389894,0.0011671007401309907,0.004599029418895953
PBS,Variance of Gradient,10,0.030003075319400524,0.0002777714005787857,0.0011567096190992744,0.004400659239036031
BMA,Variance of Gradient,10,0.03119253902026685,0.00026513378077652305,0.0011746097612194716,0.004714793120801915
TBF,Variance of Gradient,10,0.02947003579873126,0.0002802308395621367,0.0011939093616092577,0.004802052420272957
WBC,Fourier Transform Sharpness Index,10,0.0005789385008392856,0.0002181234594900161,0.004487454679619986,0.022504329800431152
TBI,Fourier Transform Sharpness Index,10,0.17485627929971087,0.0004211261609452777,0.005032656739349477,0.024202397999179084
PBS,Fourier Transform Sharpness Index,10,0.16287093515973539,0.00041884266014676543,0.005095825861208141,0.02313817282032687
BMA,Fourier Transform Sharpness Index,10,0.16303206743963528,0.0004095422802492976,0.005185530219459906,0.023838575359259265
TBF,Fourier Transform Sharpness Index,10,0.1738672400204814,0.00041685366100864486,0.00556717183906585,0.02481955543975346
WBC,Fourier High Frequency Energy Ratio,10,0.0007218947992078029,0.00031278928072424604,0.005228575560322497,0.026321617920766583
TBI,Fourier High Frequency Energy Ratio,10,0.19971031607856277,0.0005931666394462809,0.006092875659815036,0.0268183311203029
PBS,Fourier High Frequency Energy Ratio,10,0.1855312391393818,0.0005715541410609148,0.005643502739549149,0.026217289699125103
BMA,Fourier High Frequency Energy Ratio,10,0.19604007499903672,0.0006032908600172959,0.006080245978664607,0.025385416598874146
TBF,Fourier High Frequency Energy Ratio,10,0.18933871490036835,0.0006821995007339865,0.005998075559036806,0.02736913812084822
WBC,Roberts Focus Measure,10,0.00012488766078604384,5.4479298123624174e-05,0.0010799211394623854,0.0034514315210981295
TBI,Roberts Focus Measure,10,0.02546188576059649,0.00015451983956154435,0.0009240746201248839,0.003435347819759045
PBS,Roberts Focus Measure,10,0.024859495939745103,0.00015256665879860522,0.0009462127601727843,0.0034196123195579277
BMA,Roberts Focus Measure,10,0.02556954228115501,0.0001478697214042768,0.0009137897004256957,0.003667911658121739
TBF,Roberts Focus Measure,10,0.023653711160004604,0.00014731027942616493,0.0009553233985207044,0.003465741500258446
WBC,Wavelet W1,10,0.0003830973390722647,0.0002138573004049249,0.002328072758682538,0.018161702241632157
TBI,Wavelet W1,10,0.1571589120203862,0.00040960685902973636,0.0027594757603947072,0.017826188520702998
PBS,Wavelet W1,10,0.14722168890119064,0.0004170100181363523,0.0029279004607815295,0.017705001898575573
BMA,Wavelet W1,10,0.1413786937817349,0.00040261473914142697,0.0027733850991353394,0.017044235959474463
