measure_name,weighted_mean,weighted_std,generalization_score,dataset_weighting_mode,alpha,final_rank
Variance of Gradient,0.11253331123953621,0.018845679427065387,0.08442702169579495,equal_dataset,0.7,1
Gradient Squared Energy,0.11348119662286957,0.02302082980076718,0.08634308657623885,equal_dataset,0.7,2
Squared Gradient,0.11350213409339031,0.02307770281061835,0.08637480470855873,equal_dataset,0.7,3
Energy of Gradient,0.11684524890122673,0.021084930733800175,0.08811715345099876,equal_dataset,0.7,4
Tenengrad,0.11693683918127819,0.021090447713221813,0.08818292174086127,equal_dataset,0.7,5
Brenner Gradient,0.11920823474674383,0.0225175703484827,0.09020103542726549,equal_dataset,0.7,6
Modified Tenengrad,0.1260636208849156,0.024387525945321915,0.09556079240303748,equal_dataset,0.7,7
Fourier Transform Sharpness Index,0.13282426594459562,0.033022657721530374,0.10288378347767604,equal_dataset,0.7,8
Roberts Focus Measure,0.17186163817428618,0.08528365737807854,0.14588824393542388,equal_dataset,0.7,9
DCT Focus Measure,0.1885227928936307,0.06534922309523764,0.15157072195411278,equal_dataset,0.7,10
Spatial Frequency,0.1939695534403451,0.09974235001194968,0.16570139241182646,equal_dataset,0.7,11
Absolute Central Moment 4,0.22525774335554682,0.09601302761246235,0.1864843286326215,equal_dataset,0.7,12
Normalized Variance,0.22485116938392471,0.10179888377806258,0.18793548370216606,equal_dataset,0.7,13
Intensity Variance,0.22657785660205618,0.1033833378659182,0.1896195009812148,equal_dataset,0.7,14
Absolute Central Moment 2,0.22676740062521125,0.10330167290180998,0.18972768230819087,equal_dataset,0.7,15
Wavelet W1,0.23365523487124382,0.1246183476377268,0.2009441687011887,equal_dataset,0.7,16
Wavelet Detail Energy (db1),0.23369492744166281,0.12470679883179794,0.20099848885870336,equal_dataset,0.7,17
Curvelet Transform Sharpness Index,0.23387261941653523,0.12468907475274384,0.2011175560173978,equal_dataset,0.7,18
Wavelet W3,0.23462001084576,0.12470245574022108,0.20164474431409832,equal_dataset,0.7,19
Wavelet W2,0.23585969770253423,0.12376607429666613,0.20223161068077378,equal_dataset,0.7,20
Fourier High Frequency Energy Ratio,0.2657562254521323,0.14012588652282595,0.2280671237733404,equal_dataset,0.7,21
Intensity Range Index,0.30192574845205983,0.07237694901656892,0.23306110862141255,equal_dataset,0.7,22
Sum Modified Laplacian,0.35675172265504446,0.1583192567332544,0.29722198287850743,equal_dataset,0.7,23
Variance of Laplacian,0.366539483776798,0.16973505330582228,0.3074981546355053,equal_dataset,0.7,24
Laplacian Energy,0.37047970140237435,0.1690244302509637,0.31004312005695117,equal_dataset,0.7,25
Image Power,0.3792734157813266,0.1485135237613591,0.3100454481753363,equal_dataset,0.7,26
Maximal Intensity,0.40168142252594835,0.12536860391366916,0.3187875769422646,equal_dataset,0.7,27
Mean Absolute Laplacian,0.40086599521271205,0.16797890809239677,0.33099986907661744,equal_dataset,0.7,28
Histogram Entropy,0.4348121391683598,0.17405111249901048,0.356583831167555,equal_dataset,0.7,29
GLCM Contrast,0.42453136224557575,0.2240666384369738,0.36439194510299516,equal_dataset,0.7,30
Mean Intensity,0.4870185821105468,0.09302891789137267,0.36882168284479455,equal_dataset,0.7,31
Intensity Skewness Index,0.5238976161003918,0.11331669608698659,0.4007233400963702,equal_dataset,0.7,32
