measure_name,weighted_mean,weighted_std,generalization_score,dataset_weighting_mode,alpha,final_rank
Variance of Gradient,0.13583364384880572,0.02392681831006833,0.1022615961871845,equal_dataset,0.7,1
Gradient Squared Energy,0.13915487868463058,0.028107452771415,0.10584065091066591,equal_dataset,0.7,2
Squared Gradient,0.13918105052278149,0.028145028497924433,0.10587024391532437,equal_dataset,0.7,3
Energy of Gradient,0.1410750336329921,0.026882286076689625,0.10681720936610134,equal_dataset,0.7,4
Tenengrad,0.14118952148305638,0.026887483251447908,0.10689891001357384,equal_dataset,0.7,5
Brenner Gradient,0.14397310124626977,0.029721814374587333,0.10969771518476504,equal_dataset,0.7,6
Modified Tenengrad,0.15429722377994481,0.029412030169846937,0.11683166569691544,equal_dataset,0.7,7
Fourier Transform Sharpness Index,0.1636040944454698,0.045672961885586484,0.1282247546775048,equal_dataset,0.7,8
Roberts Focus Measure,0.17779966761109434,0.049196766182881886,0.13921879718263058,equal_dataset,0.7,9
DCT Focus Measure,0.2004518600126018,0.03829024891561896,0.15180337668350694,equal_dataset,0.7,10
Spatial Frequency,0.19717587389591795,0.05419363776205986,0.1542812030557605,equal_dataset,0.7,11
Wavelet W1,0.22762763119409424,0.06695297470990694,0.17942523424883805,equal_dataset,0.7,12
Wavelet Detail Energy (db1),0.2276773324824014,0.06701118863673854,0.17947748932870253,equal_dataset,0.7,13
Curvelet Transform Sharpness Index,0.22789944745099194,0.0669805951367648,0.17962379175672377,equal_dataset,0.7,14
Wavelet W3,0.22883360116223952,0.06700531622554742,0.18028511568123187,equal_dataset,0.7,15
Wavelet W2,0.23038320973320722,0.06540376239920788,0.18088937553300743,equal_dataset,0.7,16
Normalized Variance,0.24698813335280498,0.10391423458294965,0.20406596372184838,equal_dataset,0.7,17
Absolute Central Moment 4,0.24809017703992964,0.10532336797542638,0.20526013432057866,equal_dataset,0.7,18
Intensity Variance,0.25170986952638874,0.10785118728820893,0.20855226485493478,equal_dataset,0.7,19
Absolute Central Moment 2,0.25194679955533256,0.10777646818669298,0.20869570014474068,equal_dataset,0.7,20
Fourier High Frequency Energy Ratio,0.2590178368493388,0.10876586672737384,0.21394224581274932,equal_dataset,0.7,21
Intensity Range Index,0.30807193245069264,0.073223810363982,0.23761749582467942,equal_dataset,0.7,22
Sum Modified Laplacian,0.32338008433097404,0.13557343969200072,0.26703809093928205,equal_dataset,0.7,23
Variance of Laplacian,0.327978338347132,0.1410151167804897,0.27188937187713935,equal_dataset,0.7,24
Laplacian Energy,0.3339695706747012,0.14122295014434266,0.2761455845155936,equal_dataset,0.7,25
Image Power,0.35483789718928793,0.11406292687305138,0.2826054060944169,equal_dataset,0.7,26
Mean Absolute Laplacian,0.35705847646809974,0.13584082299688213,0.2906931804267344,equal_dataset,0.7,27
Mean Intensity,0.40574142482553066,0.08404600787978919,0.30923279974180823,equal_dataset,0.7,28
GLCM Contrast,0.407543811397431,0.16236461100227914,0.3339900512788854,equal_dataset,0.7,29
Intensity Skewness Index,0.42693392550004056,0.13062464733169848,0.33804114204953795,equal_dataset,0.7,30
Maximal Intensity,0.43015385488887764,0.14393991807046985,0.3442896738433553,equal_dataset,0.7,31
Histogram Entropy,0.42833918767121154,0.1499656144895695,0.3448271157167189,equal_dataset,0.7,32
