family,measure_a,measure_b,n,valid,statistic,p_raw,p_holm,delta_mean,delta_median,rank_biserial,note
single_accuracy_rank,Absolute Central Moment 2,Absolute Central Moment 4,5,True,3.0,0.3125,1.0,2.8,5.0,0.6,
single_accuracy_rank,Absolute Central Moment 2,Brenner Gradient,5,True,1.0,0.125,1.0,-10.1,-10.0,-0.8666666666666667,
single_accuracy_rank,Absolute Central Moment 2,Curvelet Transform Sharpness Index,5,True,7.0,1.0,1.0,0.1,-5.5,-0.06666666666666667,
single_accuracy_rank,Absolute Central Moment 2,DCT Focus Measure,5,True,3.5,0.625,1.0,-3.9,-9.5,-0.3,
single_accuracy_rank,Absolute Central Moment 2,Energy of Gradient,5,True,1.0,0.125,1.0,-9.5,-10.0,-0.8666666666666667,
single_accuracy_rank,Absolute Central Moment 2,Fourier High Frequency Energy Ratio,5,True,3.0,0.3125,1.0,4.1,2.5,0.6,
single_accuracy_rank,Absolute Central Moment 2,Fourier Transform Sharpness Index,5,True,1.0,0.125,1.0,-11.7,-17.0,-0.8666666666666667,
single_accuracy_rank,Absolute Central Moment 2,GLCM Contrast,5,True,4.0,0.4375,1.0,5.6,3.5,0.4666666666666667,
single_accuracy_rank,Absolute Central Moment 2,Gradient Squared Energy,5,True,0.0,0.0625,1.0,-11.9,-10.0,-1.0,
single_accuracy_rank,Absolute Central Moment 2,Histogram Entropy,5,True,1.0,0.125,1.0,6.9,9.0,0.8666666666666667,
single_accuracy_rank,Absolute Central Moment 2,Image Power,5,True,0.0,0.0625,1.0,8.0,4.5,1.0,
single_accuracy_rank,Absolute Central Moment 2,Intensity Range Index,5,True,2.0,0.1875,1.0,4.9,6.0,0.7333333333333333,
single_accuracy_rank,Absolute Central Moment 2,Intensity Skewness Index,5,True,0.0,0.0625,1.0,14.5,12.5,1.0,
single_accuracy_rank,Absolute Central Moment 2,Intensity Variance,5,False,nan,nan,nan,0.0,0.0,nan,Too few non-zero paired differences for Wilcoxon.
single_accuracy_rank,Absolute Central Moment 2,Laplacian Energy,5,True,6.0,0.8125,1.0,2.8,9.5,0.2,
single_accuracy_rank,Absolute Central Moment 2,Maximal Intensity,5,True,2.0,0.1875,1.0,5.3,7.0,0.7333333333333333,
single_accuracy_rank,Absolute Central Moment 2,Mean Absolute Laplacian,5,True,3.5,0.4375,1.0,6.9,7.5,0.5333333333333333,
single_accuracy_rank,Absolute Central Moment 2,Mean Intensity,5,True,0.0,0.0625,1.0,11.7,8.0,1.0,
single_accuracy_rank,Absolute Central Moment 2,Modified Tenengrad,5,True,0.0,0.0625,1.0,-11.6,-10.0,-1.0,
single_accuracy_rank,Absolute Central Moment 2,Normalized Variance,5,True,0.0,0.25,1.0,2.7,1.5,1.0,
single_accuracy_rank,Absolute Central Moment 2,Roberts Focus Measure,5,True,2.0,0.375,1.0,-7.2,-10.0,-0.6,
single_accuracy_rank,Absolute Central Moment 2,Spatial Frequency,5,True,3.0,0.3125,1.0,-7.0,-15.5,-0.6,
single_accuracy_rank,Absolute Central Moment 2,Squared Gradient,5,True,0.0,0.0625,1.0,-11.9,-10.0,-1.0,
single_accuracy_rank,Absolute Central Moment 2,Sum Modified Laplacian,5,True,6.0,0.8125,1.0,2.6,8.5,0.2,
single_accuracy_rank,Absolute Central Moment 2,Tenengrad,5,True,1.0,0.125,1.0,-9.5,-10.0,-0.8666666666666667,
single_accuracy_rank,Absolute Central Moment 2,Variance of Gradient,5,True,0.0,0.0625,1.0,-7.6,-6.5,-1.0,
single_accuracy_rank,Absolute Central Moment 2,Variance of Laplacian,5,True,6.0,0.8125,1.0,3.4,10.5,0.2,
