family,measure_a,measure_b,n,valid,statistic,p_raw,p_holm,delta_mean,delta_median,rank_biserial,note
union_accuracy_rank,Absolute Central Moment 2,Absolute Central Moment 4,5,True,3.0,0.3125,1.0,3.3,5.0,0.6,
union_accuracy_rank,Absolute Central Moment 2,Brenner Gradient,5,True,1.0,0.125,1.0,-14.7,-17.0,-0.8666666666666667,
union_accuracy_rank,Absolute Central Moment 2,CFM1,5,True,0.0,0.0625,1.0,-17.5,-15.5,-1.0,
union_accuracy_rank,Absolute Central Moment 2,CFM10,5,True,0.0,0.125,1.0,-13.8,-4.5,-1.0,
union_accuracy_rank,Absolute Central Moment 2,CFM11,5,True,0.0,0.0625,1.0,-18.1,-17.0,-1.0,
union_accuracy_rank,Absolute Central Moment 2,CFM12,5,True,0.0,0.125,1.0,-15.5,-17.0,-1.0,
union_accuracy_rank,Absolute Central Moment 2,CFM13,5,True,2.0,0.1875,1.0,-8.3,-11.5,-0.7333333333333333,
union_accuracy_rank,Absolute Central Moment 2,CFM14,5,True,1.0,0.125,1.0,-12.1,-13.5,-0.8666666666666667,
union_accuracy_rank,Absolute Central Moment 2,CFM2,5,True,0.0,0.0625,1.0,-20.0,-17.0,-1.0,
union_accuracy_rank,Absolute Central Moment 2,CFM3,5,True,0.0,0.0625,1.0,-20.5,-13.5,-1.0,
union_accuracy_rank,Absolute Central Moment 2,CFM4,5,True,0.0,0.0625,1.0,-20.3,-17.0,-1.0,
union_accuracy_rank,Absolute Central Moment 2,CFM5,5,True,0.0,0.0625,1.0,-17.4,-17.0,-1.0,
union_accuracy_rank,Absolute Central Moment 2,CFM6,5,True,0.0,0.125,1.0,-15.6,-11.5,-1.0,
union_accuracy_rank,Absolute Central Moment 2,CFM7,5,True,1.0,0.125,1.0,-19.6,-25.5,-0.8666666666666667,
union_accuracy_rank,Absolute Central Moment 2,CFM8,5,True,0.0,0.0625,1.0,-18.0,-17.0,-1.0,
union_accuracy_rank,Absolute Central Moment 2,CFM9,5,True,0.0,0.0625,1.0,-18.0,-17.0,-1.0,
union_accuracy_rank,Absolute Central Moment 2,Curvelet Transform Sharpness Index,5,True,7.0,1.0,1.0,-0.6,-5.5,-0.06666666666666667,
union_accuracy_rank,Absolute Central Moment 2,DCT Focus Measure,5,True,3.0,0.625,1.0,-5.1,-9.5,-0.4,
union_accuracy_rank,Absolute Central Moment 2,Energy of Gradient,5,True,1.0,0.125,1.0,-14.3,-13.5,-0.8666666666666667,
union_accuracy_rank,Absolute Central Moment 2,Fourier High Frequency Energy Ratio,5,True,3.0,0.3125,1.0,5.0,3.0,0.6,
union_accuracy_rank,Absolute Central Moment 2,Fourier Transform Sharpness Index,5,True,1.0,0.125,1.0,-17.3,-21.0,-0.8666666666666667,
union_accuracy_rank,Absolute Central Moment 2,GLCM Contrast,5,True,4.0,0.4375,1.0,6.5,4.5,0.4666666666666667,
union_accuracy_rank,Absolute Central Moment 2,Gradient Squared Energy,5,True,0.0,0.0625,1.0,-20.3,-17.0,-1.0,
union_accuracy_rank,Absolute Central Moment 2,Histogram Entropy,5,True,1.0,0.125,1.0,7.8,10.0,0.8666666666666667,
union_accuracy_rank,Absolute Central Moment 2,Image Power,5,True,0.0,0.0625,1.0,8.9,4.5,1.0,
union_accuracy_rank,Absolute Central Moment 2,Intensity Range Index,5,True,2.0,0.1875,1.0,5.8,7.0,0.7333333333333333,
union_accuracy_rank,Absolute Central Moment 2,Intensity Skewness Index,5,True,0.0,0.0625,1.0,15.4,12.5,1.0,
union_accuracy_rank,Absolute Central Moment 2,Intensity Variance,5,False,nan,nan,nan,0.0,0.0,nan,Too few non-zero paired differences for Wilcoxon.
union_accuracy_rank,Absolute Central Moment 2,Laplacian Energy,5,True,6.0,0.8125,1.0,1.1,9.5,0.2,
union_accuracy_rank,Absolute Central Moment 2,Maximal Intensity,5,True,2.0,0.1875,1.0,6.2,8.0,0.7333333333333333,
union_accuracy_rank,Absolute Central Moment 2,Mean Absolute Laplacian,5,True,3.5,0.4375,1.0,7.6,7.5,0.5333333333333333,
