family,measure_a,measure_b,n,valid,statistic,p_raw,p_holm,delta_mean,delta_median,rank_biserial,note
union_overall_rank,Absolute Central Moment 2,Absolute Central Moment 4,50,True,503.5,0.6967726954577245,1.0,0.69,0.0,0.06845513413506013,
union_overall_rank,Absolute Central Moment 2,Brenner Gradient,50,True,332.0,0.0027053239960554976,1.0,-8.38,-16.25,-0.4792156862745098,
union_overall_rank,Absolute Central Moment 2,CFM1,50,True,354.0,0.005579489549422334,1.0,-9.97,-15.5,-0.4447058823529412,
union_overall_rank,Absolute Central Moment 2,CFM10,50,True,379.5,0.019517325286361853,1.0,-8.67,-15.25,-0.38040816326530613,
union_overall_rank,Absolute Central Moment 2,CFM11,50,True,402.0,0.03590306108473129,1.0,-7.44,-14.75,-0.3436734693877551,
union_overall_rank,Absolute Central Moment 2,CFM12,50,True,396.5,0.030792849170467207,1.0,-7.2,-10.25,-0.3526530612244898,
union_overall_rank,Absolute Central Moment 2,CFM13,50,True,413.0,0.029727315082014982,1.0,-9.91,-21.75,-0.35215686274509805,
union_overall_rank,Absolute Central Moment 2,CFM14,50,True,401.0,0.035005169024110216,1.0,-9.18,-19.5,-0.34530612244897957,
union_overall_rank,Absolute Central Moment 2,CFM2,50,True,376.0,0.01794931213249029,1.0,-8.77,-13.5,-0.38612244897959186,
union_overall_rank,Absolute Central Moment 2,CFM3,50,True,373.0,0.016490706021031087,1.0,-9.12,-15.5,-0.39102040816326533,
union_overall_rank,Absolute Central Moment 2,CFM4,50,True,334.5,0.002896310240339872,1.0,-10.77,-16.0,-0.4752941176470588,
union_overall_rank,Absolute Central Moment 2,CFM5,50,True,368.5,0.014286094408188177,1.0,-9.01,-15.75,-0.3983673469387755,
union_overall_rank,Absolute Central Moment 2,CFM6,50,True,341.0,0.010558738569429238,1.0,-10.1,-20.5,-0.4200680272108844,
union_overall_rank,Absolute Central Moment 2,CFM7,50,True,314.5,0.0025083794445848184,1.0,-9.28,-13.5,-0.48653061224489796,
union_overall_rank,Absolute Central Moment 2,CFM8,50,True,372.5,0.016027738565448146,1.0,-8.96,-15.25,-0.39183673469387753,
union_overall_rank,Absolute Central Moment 2,CFM9,50,True,380.0,0.020065414176343666,1.0,-8.76,-15.25,-0.3795918367346939,
union_overall_rank,Absolute Central Moment 2,Curvelet Transform Sharpness Index,50,True,584.5,0.7825133747314545,1.0,-0.37,-6.0,-0.045714285714285714,
union_overall_rank,Absolute Central Moment 2,DCT Focus Measure,50,True,468.0,0.222521610572727,1.0,-1.95,-2.5,-0.20408163265306123,
union_overall_rank,Absolute Central Moment 2,Energy of Gradient,50,True,309.0,0.002095708105855465,1.0,-8.67,-15.25,-0.49551020408163265,
union_overall_rank,Absolute Central Moment 2,Fourier High Frequency Energy Ratio,50,True,538.5,0.46504850070737547,1.0,-1.72,-3.25,-0.12081632653061225,
union_overall_rank,Absolute Central Moment 2,Fourier Transform Sharpness Index,50,True,461.0,0.0894381024777875,1.0,-4.01,-6.5,-0.2768627450980392,
union_overall_rank,Absolute Central Moment 2,GLCM Contrast,50,True,631.0,0.9542249738357711,1.0,-0.26,-0.5,-0.01019607843137255,
union_overall_rank,Absolute Central Moment 2,Gradient Squared Energy,50,True,298.5,0.0013944547871531654,1.0,-9.29,-15.75,-0.5126530612244898,
union_overall_rank,Absolute Central Moment 2,Histogram Entropy,50,True,452.5,0.07556206690378708,1.0,2.58,4.5,0.2901960784313726,
union_overall_rank,Absolute Central Moment 2,Image Power,50,True,564.5,0.49032624846387485,1.0,1.28,2.5,0.11450980392156863,
union_overall_rank,Absolute Central Moment 2,Intensity Range Index,50,True,598.5,0.7089524432753507,1.0,-0.33,-2.5,-0.0611764705882353,
union_overall_rank,Absolute Central Moment 2,Intensity Skewness Index,50,True,631.5,0.9618478594751583,1.0,-2.92,4.25,0.009411764705882352,
union_overall_rank,Absolute Central Moment 2,Intensity Variance,50,True,1.0,0.125,1.0,-0.22,0.0,-0.8666666666666667,
union_overall_rank,Absolute Central Moment 2,Laplacian Energy,50,True,634.0,0.9771032283055696,1.0,-0.57,4.25,-0.005490196078431373,
union_overall_rank,Absolute Central Moment 2,Maximal Intensity,50,True,588.5,0.8206302768279947,1.0,1.1,1.5,0.03918367346938775,
union_overall_rank,Absolute Central Moment 2,Mean Absolute Laplacian,50,True,555.0,0.43191110415215306,1.0,1.71,5.0,0.12941176470588237,
union_overall_rank,Absolute Central Moment 2,Mean Intensity,50,True,617.5,0.8557483168795788,1.0,-0.13,0.0,0.03137254901960784,
union_overall_rank,Absolute Central Moment 2,Modified Tenengrad,50,True,399.5,0.03326570607778834,1.0,-7.9,-16.25,-0.34775510204081633,
union_overall_rank,Absolute Central Moment 2,Normalized Variance,50,True,395.5,0.4877247967906442,1.0,-0.65,-0.5,-0.12403100775193798,
union_overall_rank,Absolute Central Moment 2,Roberts Focus Measure,50,True,346.5,0.012318427078668037,1.0,-5.32,-12.25,-0.4107142857142857,
union_overall_rank,Absolute Central Moment 2,Spatial Frequency,50,True,410.5,0.04380240908890798,1.0,-3.65,-6.5,-0.32979591836734695,
union_overall_rank,Absolute Central Moment 2,Squared Gradient,50,True,298.0,0.0013944547871531654,1.0,-9.25,-15.75,-0.5134693877551021,
union_overall_rank,Absolute Central Moment 2,Sum Modified Laplacian,50,True,622.0,0.8858855663449852,1.0,-1.02,4.5,-0.02431372549019608,
union_overall_rank,Absolute Central Moment 2,Tenengrad,50,True,311.5,0.002252839281940311,1.0,-8.45,-15.25,-0.49142857142857144,
union_overall_rank,Absolute Central Moment 2,Variance of Gradient,50,True,319.5,0.002992361941505095,1.0,-9.03,-13.5,-0.47836734693877553,
union_overall_rank,Absolute Central Moment 2,Variance of Laplacian,50,True,594.0,0.6806447467771797,1.0,-1.95,2.0,-0.06823529411764706,
union_overall_rank,Absolute Central Moment 2,Wavelet Detail Energy (db1),50,True,586.0,0.7977041252178729,1.0,-0.35,-6.0,-0.04326530612244898,
union_overall_rank,Absolute Central Moment 2,Wavelet W1,50,True,590.5,0.8283069181203153,1.0,-0.37,-6.5,-0.035918367346938776,
union_overall_rank,Absolute Central Moment 2,Wavelet W2,50,True,600.0,0.9058435571951513,1.0,0.05,-6.5,-0.02040816326530612,
union_overall_rank,Absolute Central Moment 2,Wavelet W3,50,True,599.0,0.8980376443320921,1.0,-0.05,-6.5,-0.022040816326530613,
union_overall_rank,Absolute Central Moment 4,Brenner Gradient,50,True,292.5,0.001108711836092624,1.0,-9.07,-16.0,-0.5224489795918368,
union_overall_rank,Absolute Central Moment 4,CFM1,50,True,305.0,0.0010251160635235124,0.9328556178063963,-10.66,-16.25,-0.5215686274509804,
union_overall_rank,Absolute Central Moment 4,CFM10,50,True,357.0,0.006131180232502587,1.0,-9.36,-13.0,-0.44,
union_overall_rank,Absolute Central Moment 4,CFM11,50,True,359.5,0.006525205201144857,1.0,-8.13,-14.5,-0.43607843137254904,
union_overall_rank,Absolute Central Moment 4,CFM12,50,True,399.5,0.020665866669398625,1.0,-7.89,-10.0,-0.37333333333333335,
union_overall_rank,Absolute Central Moment 4,CFM13,50,True,340.5,0.0035436448551049438,1.0,-10.6,-21.5,-0.46588235294117647,
union_overall_rank,Absolute Central Moment 4,CFM14,50,True,317.0,0.0015962870115284744,1.0,-9.87,-19.5,-0.5027450980392156,
union_overall_rank,Absolute Central Moment 4,CFM2,50,True,369.5,0.008848884696840642,1.0,-9.46,-12.75,-0.4203921568627451,
union_overall_rank,Absolute Central Moment 4,CFM3,50,True,326.5,0.003809813482895663,1.0,-9.81,-14.75,-0.4669387755102041,
union_overall_rank,Absolute Central Moment 4,CFM4,50,True,272.0,0.0002738644978439453,0.27112585286550583,-11.46,-17.5,-0.5733333333333334,
union_overall_rank,Absolute Central Moment 4,CFM5,50,True,315.0,0.0014846473444478647,1.0,-9.7,-15.0,-0.5058823529411764,
union_overall_rank,Absolute Central Moment 4,CFM6,50,True,305.0,0.0018106206982899664,1.0,-10.79,-19.25,-0.5020408163265306,
union_overall_rank,Absolute Central Moment 4,CFM7,50,True,303.0,0.0009504084140701252,0.8667724736319542,-9.97,-15.0,-0.5247058823529411,
union_overall_rank,Absolute Central Moment 4,CFM8,50,True,355.0,0.005758302166270823,1.0,-9.65,-15.25,-0.44313725490196076,
union_overall_rank,Absolute Central Moment 4,CFM9,50,True,360.0,0.006730459669450184,1.0,-9.45,-15.25,-0.43529411764705883,
union_overall_rank,Absolute Central Moment 4,Curvelet Transform Sharpness Index,50,True,521.0,0.3685782240385933,1.0,-1.06,-5.25,-0.1493877551020408,
union_overall_rank,Absolute Central Moment 4,DCT Focus Measure,50,True,450.0,0.10752609014286207,1.0,-2.64,-3.0,-0.2653061224489796,
union_overall_rank,Absolute Central Moment 4,Energy of Gradient,50,True,297.0,0.0007549339759211904,0.6983139277271011,-9.36,-13.5,-0.5341176470588235,
union_overall_rank,Absolute Central Moment 4,Fourier High Frequency Energy Ratio,50,True,471.5,0.33083350156215374,1.0,-2.41,-1.0,-0.16400709219858156,
union_overall_rank,Absolute Central Moment 4,Fourier Transform Sharpness Index,50,True,417.0,0.03286210881230289,1.0,-4.7,-5.0,-0.3458823529411765,
union_overall_rank,Absolute Central Moment 4,GLCM Contrast,50,True,619.0,0.8632650227005474,1.0,-0.95,-1.0,-0.029019607843137254,
union_overall_rank,Absolute Central Moment 4,Gradient Squared Energy,50,True,287.5,0.0005086665780176247,0.4832332491167435,-9.98,-15.5,-0.5490196078431373,
union_overall_rank,Absolute Central Moment 4,Histogram Entropy,50,True,487.0,0.3055989410548037,1.0,1.89,0.5,0.1717687074829932,
union_overall_rank,Absolute Central Moment 4,Image Power,50,True,507.5,0.41826512544153616,1.0,0.59,2.5,0.13690476190476192,
union_overall_rank,Absolute Central Moment 4,Intensity Range Index,50,True,591.5,0.6596977023333945,1.0,-1.02,0.0,-0.07215686274509804,
union_overall_rank,Absolute Central Moment 4,Intensity Skewness Index,50,True,628.5,0.9313837099567692,1.0,-3.61,1.5,-0.01411764705882353,
union_overall_rank,Absolute Central Moment 4,Intensity Variance,50,True,503.5,0.6887763793043007,1.0,-0.91,0.0,-0.06845513413506013,
union_overall_rank,Absolute Central Moment 4,Laplacian Energy,50,True,635.0,0.9847343420165711,1.0,-1.26,2.0,-0.00392156862745098,
union_overall_rank,Absolute Central Moment 4,Maximal Intensity,50,True,598.0,0.7089524432753507,1.0,0.41,2.5,0.06196078431372549,
union_overall_rank,Absolute Central Moment 4,Mean Absolute Laplacian,50,True,562.0,0.4723763440876976,1.0,1.02,1.5,0.11843137254901961,
union_overall_rank,Absolute Central Moment 4,Mean Intensity,50,True,619.0,0.8632650227005474,1.0,-0.82,2.5,0.029019607843137254,
