measure_name,weighted_mean,weighted_std,generalization_score,dataset_weighting_mode,alpha,final_rank
Variance of Gradient,0.13583364384880575,0.02392681831006833,0.10226159618718453,equal_dataset,0.7,1
Gradient Squared Energy,0.13915487868463056,0.028107452771415,0.10584065091066588,equal_dataset,0.7,2
Squared Gradient,0.13918105052278149,0.028145028497924437,0.10587024391532437,equal_dataset,0.7,3
Energy of Gradient,0.1410750336329921,0.026882286076689625,0.10681720936610134,equal_dataset,0.7,4
Tenengrad,0.1411895214830564,0.026887483251447908,0.10689891001357385,equal_dataset,0.7,5
Brenner Gradient,0.14397310124626977,0.029721814374587333,0.10969771518476504,equal_dataset,0.7,6
Modified Tenengrad,0.15429722377994481,0.029412030169846937,0.11683166569691544,equal_dataset,0.7,7
Fourier Transform Sharpness Index,0.1636040944454698,0.045672961885586484,0.1282247546775048,equal_dataset,0.7,8
Roberts Focus Measure,0.17779966761109434,0.04919676618288188,0.13921879718263058,equal_dataset,0.7,9
DCT Focus Measure,0.2004518600126018,0.03829024891561896,0.15180337668350694,equal_dataset,0.7,10
