protocol,dataset_scope,held_out_dataset,seed,generation_index,generation_number,best_generalization_score,best_complexity,best_nodes,best_height,best_expression,source_file
lodo,BMA,BMA,42,0,1,0.2024050964528703,3.0,3,1,"mul(Fourier_Transform_Sharpness_Index, Squared_Gradient)",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,1,2,0.19382731149405374,5.0,5,2,"add(Gradient_Squared_Energy, mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient))",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,2,3,0.18771813268621357,10.0,10,5,"add(pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), psqrt(Squared_Gradient)))), Fourier_Transform_Sharpness_Index)",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,3,4,0.18771813268621357,10.0,10,5,"add(pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), psqrt(Squared_Gradient)))), Fourier_Transform_Sharpness_Index)",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,4,5,0.18668801971187748,10.0,10,5,"add(pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), psqrt(Fourier_High_Frequency_Energy_Ratio)))), Fourier_Transform_Sharpness_Index)",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,5,6,0.18668801971187748,10.0,10,5,"add(pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), psqrt(Fourier_High_Frequency_Energy_Ratio)))), Fourier_Transform_Sharpness_Index)",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,6,7,0.18668801971187748,10.0,10,5,"add(pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), psqrt(Fourier_High_Frequency_Energy_Ratio)))), Fourier_Transform_Sharpness_Index)",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,7,8,0.1866880194199773,10.0,10,5,"add(pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), psqrt(Fourier_High_Frequency_Energy_Ratio)))), Fourier_Transform_Sharpness_Index)",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,8,9,0.18534727507968982,7.0,7,3,"add(Fourier_Transform_Sharpness_Index, mul(Fourier_High_Frequency_Energy_Ratio, mul(Fourier_High_Frequency_Energy_Ratio, Gradient_Squared_Energy)))",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,9,10,0.18534727465249493,7.0,7,3,"add(Fourier_Transform_Sharpness_Index, mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), Fourier_High_Frequency_Energy_Ratio))",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,10,11,0.18478012757402537,19.0,19,6,"add(Fourier_Transform_Sharpness_Index, mul(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), psqrt(Fourier_High_Frequency_Energy_Ratio))), pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, mul(Fourier_High_Frequency_Energy_Ratio, Gradient_Squared_Energy)), psqrt(Squared_Gradient)))))",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,11,12,0.18451658316378003,17.0,17,9,"add(pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), psqrt(pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), psqrt(Fourier_High_Frequency_Energy_Ratio)))))))), Fourier_Transform_Sharpness_Index)",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,12,13,0.18214144183472544,20.0,20,10,"add(pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient)), psqrt(Squared_Gradient))))), mul(Wavelet_W1, Wavelet_W1)))), Fourier_Transform_Sharpness_Index)",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
lodo,BMA,BMA,42,13,14,0.18214144078063935,18.0,18,8,"add(pabs(pabs(mul(mul(Fourier_High_Frequency_Energy_Ratio, mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), mul(Wavelet_W1, Wavelet_W1)))), psqrt(Squared_Gradient)))), Fourier_Transform_Sharpness_Index)",outputs/05_gp_runs/folds/heldout_BMA/seed_42/progress.csv
