protocol,dataset_scope,held_out_dataset,evaluation_dataset,seed,train_datasets,heldout_score,all_dataset_score,all_dataset_score_std,best_training_objective,best_complexity,num_nodes,tree_height,best_expression,terminals,result_json
lodo,BMA,BMA,,42,WBC | TBI | PBS | TBF,0.27848608007802894,,,0.17817089571966727,19.0,19,9,"add(Fourier_Transform_Sharpness_Index, mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(GLCM_Contrast, mul(GLCM_Contrast, Gradient_Squared_Energy)), pabs(mul(Curvelet_Transform_Sharpness_Index, pabs(mul(pabs(psqrt(Wavelet_W1)), Fourier_Transform_Sharpness_Index)))))))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_BMA/seed_42/best_result.json
lodo,BMA,BMA,,43,WBC | TBI | PBS | TBF,0.28527137046123885,,,0.1781006711866787,19.0,19,7,"add(Fourier_Transform_Sharpness_Index, mul(mul(mul(mul(Wavelet_W1, mul(Fourier_Transform_Sharpness_Index, mul(GLCM_Contrast, GLCM_Contrast))), Fourier_High_Frequency_Energy_Ratio), mul(Fourier_Transform_Sharpness_Index, mul(Fourier_Transform_Sharpness_Index, GLCM_Contrast))), Fourier_High_Frequency_Energy_Ratio))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_BMA/seed_43/best_result.json
lodo,BMA,BMA,,44,WBC | TBI | PBS | TBF,0.3044936721040287,,,0.17802136502980995,23.0,23,8,"add(sub(Fourier_Transform_Sharpness_Index, Wavelet_W1), add(mul(Gradient_Squared_Energy, mul(mul(Fourier_High_Frequency_Energy_Ratio, add(GLCM_Contrast, Intensity_Skewness_Index)), mul(Gradient_Squared_Energy, mul(mul(Fourier_High_Frequency_Energy_Ratio, add(GLCM_Contrast, Intensity_Skewness_Index)), Fourier_High_Frequency_Energy_Ratio)))), Fourier_Transform_Sharpness_Index))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_BMA/seed_44/best_result.json
lodo,BMA,BMA,,45,WBC | TBI | PBS | TBF,0.2822061156562786,,,0.1773489609500568,19.0,19,9,"add(mul(Fourier_Transform_Sharpness_Index, mul(mul(GLCM_Contrast, mul(Fourier_Transform_Sharpness_Index, mul(mul(GLCM_Contrast, mul(mul(Curvelet_Transform_Sharpness_Index, Gradient_Squared_Energy), GLCM_Contrast)), Fourier_High_Frequency_Energy_Ratio))), Fourier_High_Frequency_Energy_Ratio)), Fourier_Transform_Sharpness_Index)",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_BMA/seed_45/best_result.json
lodo,BMA,BMA,,46,WBC | TBI | PBS | TBF,0.2833583851002444,,,0.17816711808052502,21.0,21,8,"add(mul(mul(mul(Curvelet_Transform_Sharpness_Index, mul(mul(mul(Fourier_Transform_Sharpness_Index, mul(Squared_Gradient, GLCM_Contrast)), Fourier_High_Frequency_Energy_Ratio), mul(Fourier_Transform_Sharpness_Index, GLCM_Contrast))), Fourier_High_Frequency_Energy_Ratio), mul(Fourier_Transform_Sharpness_Index, GLCM_Contrast)), Fourier_Transform_Sharpness_Index)",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_BMA/seed_46/best_result.json
lodo,BMA,BMA,,47,WBC | TBI | PBS | TBF,0.2831992374787501,,,0.1780017677228912,20.0,20,8,"add(mul(mul(mul(mul(mul(Fourier_Transform_Sharpness_Index, mul(mul(Fourier_Transform_Sharpness_Index, Gradient_Squared_Energy), GLCM_Contrast)), GLCM_Contrast), Squared_Gradient), mul(pabs(Fourier_High_Frequency_Energy_Ratio), Fourier_Transform_Sharpness_Index)), Wavelet_W3), Fourier_Transform_Sharpness_Index)",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_BMA/seed_47/best_result.json
lodo,BMA,BMA,,48,WBC | TBI | PBS | TBF,0.2851469236230313,,,0.17858920919388707,18.0,18,8,"add(psqrt(Fourier_Transform_Sharpness_Index), mul(Squared_Gradient, mul(Wavelet_W1, mul(Squared_Gradient, mul(Squared_Gradient, mul(mul(Squared_Gradient, mul(Fourier_High_Frequency_Energy_Ratio, Fourier_Transform_Sharpness_Index)), Fourier_Transform_Sharpness_Index))))))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_BMA/seed_48/best_result.json
lodo,BMA,BMA,,49,WBC | TBI | PBS | TBF,0.28220611515868543,,,0.17734896099676328,19.0,19,9,"add(mul(mul(mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(Fourier_Transform_Sharpness_Index, Squared_Gradient), Curvelet_Transform_Sharpness_Index)), GLCM_Contrast), Fourier_Transform_Sharpness_Index)), GLCM_Contrast), GLCM_Contrast), Fourier_Transform_Sharpness_Index)",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_BMA/seed_49/best_result.json
lodo,BMA,BMA,,50,WBC | TBI | PBS | TBF,0.28667983755970394,,,0.1803889633177711,12.0,12,4,"add(mul(mul(mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient), Squared_Gradient), mul(Fourier_High_Frequency_Energy_Ratio, Squared_Gradient)), psqrt(Fourier_Transform_Sharpness_Index))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_BMA/seed_50/best_result.json
lodo,BMA,BMA,,51,WBC | TBI | PBS | TBF,0.27693391314480614,,,0.17820120900208167,13.0,13,5,"add(Fourier_Transform_Sharpness_Index, mul(mul(GLCM_Contrast, mul(mul(Wavelet_W1, GLCM_Contrast), Fourier_Transform_Sharpness_Index)), mul(Fourier_High_Frequency_Energy_Ratio, Gradient_Squared_Energy)))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_BMA/seed_51/best_result.json
lodo,PBS,PBS,,42,WBC | TBI | BMA | TBF,0.3056464945707504,,,0.17697844980657843,25.0,25,7,"add(psqrt(Fourier_Transform_Sharpness_Index), mul(mul(Curvelet_Transform_Sharpness_Index, mul(Squared_Gradient, Squared_Gradient)), mul(mul(Gradient_Squared_Energy, mul(mul(psqrt(Fourier_Transform_Sharpness_Index), mul(Curvelet_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index)), mul(Curvelet_Transform_Sharpness_Index, mul(Fourier_Transform_Sharpness_Index, Squared_Gradient)))), Sum_Modified_Laplacian)))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_42/best_result.json
lodo,PBS,PBS,,43,WBC | TBI | BMA | TBF,0.2956922326750924,,,0.17820042970937194,11.0,11,4,"add(mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), GLCM_Contrast)), Fourier_Transform_Sharpness_Index)",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_43/best_result.json
lodo,PBS,PBS,,44,WBC | TBI | BMA | TBF,0.2956922330544116,,,0.17820042963287205,11.0,11,5,"add(mul(mul(mul(Fourier_Transform_Sharpness_Index, mul(GLCM_Contrast, Fourier_Transform_Sharpness_Index)), Curvelet_Transform_Sharpness_Index), Curvelet_Transform_Sharpness_Index), Fourier_Transform_Sharpness_Index)",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_44/best_result.json
