expression,heldout_score,best_training_objective,best_complexity,held_out_dataset
"add(mul(mul(mul(Fourier_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index), sub(add(Intensity_Skewness_Index, mul(Fourier_Transform_Sharpness_Index, Wavelet_W2)), psqrt(Intensity_Skewness_Index))), mul(mul(mul(mul(Wavelet_W2, GLCM_Contrast), GLCM_Contrast), mul(Wavelet_W2, GLCM_Contrast)), mul(Fourier_Transform_Sharpness_Index, Fourier_High_Frequency_Energy_Ratio))), Fourier_Transform_Sharpness_Index)",0.16920611032230654,0.18462847858954617,28.0,WBC
"add(add(add(Squared_Gradient, Squared_Gradient), sub(psqrt(Fourier_Transform_Sharpness_Index), Wavelet_W2)), mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(psqrt(GLCM_Contrast), Fourier_Transform_Sharpness_Index), mul(mul(Wavelet_W2, mul(mul(psqrt(GLCM_Contrast), Squared_Gradient), Fourier_Transform_Sharpness_Index)), mul(mul(mul(psqrt(GLCM_Contrast), Squared_Gradient), Squared_Gradient), Squared_Gradient)))))",0.19501257372638148,0.1836627209808777,33.0,WBC
"sub(Fourier_Transform_Sharpness_Index, mul(Curvelet_Transform_Sharpness_Index, psqrt(psqrt(sub(Brenner_Gradient, Gradient_Squared_Energy)))))",0.23570498083528638,0.17962894758541528,9.0,TBF
"add(Fourier_Transform_Sharpness_Index, mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(Gradient_Squared_Energy, mul(GLCM_Contrast, Curvelet_Transform_Sharpness_Index)), psqrt(mul(mul(GLCM_Contrast, Wavelet_W1), psqrt(pabs(Gradient_Squared_Energy)))))))",0.23630415894488532,0.1856284284746006,18.0,TBF
"add(pabs(sub(Brenner_Gradient, Intensity_Skewness_Index)), add(pabs(Brenner_Gradient), mul(add(mul(Brenner_Gradient, mul(add(mul(Fourier_High_Frequency_Energy_Ratio, Wavelet_W1), pabs(Intensity_Skewness_Index)), Wavelet_W1)), pabs(psqrt(Fourier_Transform_Sharpness_Index))), Fourier_Transform_Sharpness_Index)))",0.23674421535503545,0.1840393506790901,24.0,TBF
"add(mul(mul(Fourier_Transform_Sharpness_Index, mul(Fourier_Transform_Sharpness_Index, mul(mul(GLCM_Contrast, Gradient_Squared_Energy), Gradient_Squared_Energy))), Gradient_Squared_Energy), psqrt(Fourier_Transform_Sharpness_Index))",0.25183066629213763,0.1857141716101213,14.0,TBF
"add(mul(Squared_Gradient, mul(mul(mul(GLCM_Contrast, mul(Curvelet_Transform_Sharpness_Index, GLCM_Contrast)), Fourier_Transform_Sharpness_Index), Fourier_High_Frequency_Energy_Ratio)), Fourier_Transform_Sharpness_Index)",0.26878626012312784,0.18015223222228371,13.0,TBI
"add(Fourier_Transform_Sharpness_Index, mul(mul(GLCM_Contrast, mul(mul(Wavelet_W1, GLCM_Contrast), Fourier_Transform_Sharpness_Index)), mul(Fourier_High_Frequency_Energy_Ratio, Gradient_Squared_Energy)))",0.27693391314480614,0.17820120900208167,13.0,BMA
"add(psqrt(Fourier_Transform_Sharpness_Index), mul(Squared_Gradient, mul(Wavelet_W1, mul(Squared_Gradient, mul(Squared_Gradient, mul(mul(Squared_Gradient, mul(Fourier_High_Frequency_Energy_Ratio, Fourier_Transform_Sharpness_Index)), Fourier_Transform_Sharpness_Index))))))",0.2851469236230313,0.17858920919388707,18.0,BMA
"add(mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), GLCM_Contrast)), Fourier_Transform_Sharpness_Index)",0.2956922326750924,0.17820042970937194,11.0,PBS
"add(mul(mul(Sum_Modified_Laplacian, mul(mul(Wavelet_W3, mul(Gradient_Squared_Energy, mul(mul(Wavelet_W3, mul(Gradient_Squared_Energy, mul(Fourier_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index))), psqrt(Fourier_Transform_Sharpness_Index)))), Wavelet_W3)), mul(Gradient_Squared_Energy, Squared_Gradient)), psqrt(Fourier_Transform_Sharpness_Index))",0.3056464907706135,0.17697842740088573,25.0,PBS
"add(pabs(sub(Fourier_Transform_Sharpness_Index, Intensity_Skewness_Index)), add(Squared_Gradient, add(Gradient_Squared_Energy, mul(add(Squared_Gradient, add(Gradient_Squared_Energy, mul(Squared_Gradient, mul(sub(pabs(GLCM_Contrast), psqrt(Intensity_Skewness_Index)), Squared_Gradient)))), mul(Squared_Gradient, pabs(GLCM_Contrast))))))",0.31448855296905265,0.16867586565334408,27.0,TBI
"add(mul(Fourier_Transform_Sharpness_Index, add(GLCM_Contrast, mul(Fourier_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index))), add(Gradient_Squared_Energy, Intensity_Skewness_Index))",0.32218820907354,0.17874293129980426,11.0,TBI
