measure_name,native_rank_final_rank,resolution_rank_final_rank,rank_shift,native_value_final_rank,resolution_value_final_rank,value_rank_shift,native_generalization_score,resolution_generalization_score,native_weighted_mean,resolution_weighted_mean,stability_passed,comparison_resolution
Tenengrad,1,2,1,1,4,3,0.1352508618542146,0.15601809902286484,0.18099576014307933,0.19412670795213333,True,1024
Variance of Gradient,5,7,2,2,7,5,0.13547503149534154,0.2182998581784278,0.1676338168237099,0.26018876375156347,True,1024
Squared Gradient,2,1,-1,3,3,0,0.13571237116266427,0.15573750061885727,0.18136767396501197,0.19371457240363504,True,1024
Energy of Gradient,3,3,0,4,5,1,0.13590117353564843,0.15631652465753387,0.18161856806186022,0.19439527251464883,True,1024
Gradient Squared Energy,4,4,0,5,6,1,0.1375165175989403,0.15927629087126055,0.18360067406293765,0.1969474535104862,True,1024
Brenner Gradient,6,5,-1,6,2,-4,0.178948903843697,0.15488038706116558,0.2285210729809385,0.19423536552085463,True,1024
Modified Tenengrad,7,8,1,7,9,2,0.22681785852093628,0.24986514725382972,0.2962892994536848,0.3145634851976769,True,1024
Fourier Transform Sharpness Index,9,10,1,8,10,2,0.28192569879088214,0.33872161254337513,0.36050981393034714,0.43074496938464935,True,1024
Roberts Focus Measure,8,6,-2,9,1,-8,0.3390366004903511,0.14930601295791113,0.39756955765610763,0.186610654468942,True,1024
Spatial Frequency,10,9,-1,10,8,-2,0.36496572358651047,0.21839756653475573,0.4432358599642477,0.28171669013932127,True,1024
DCT Focus Measure,11,11,0,11,11,0,0.3973625167309085,0.3763094261400673,0.49096272592208934,0.4809326388631292,True,1024
