measure_name,overall_rank_mean,overall_rank_std,rank_generalization_score,bootstrap_ci_low,bootstrap_ci_high,final_rank
Gradient Squared Energy,11.71,6.842579922806894,10.24977397684207,9.92975,13.46025,1
Squared Gradient,11.75,6.867495904622004,10.285248771386602,9.93975,13.530249999999999,2
Energy of Gradient,11.97,6.609394828575457,10.361818448572636,10.24975,13.710499999999998,3
Brenner Gradient,11.75,7.257582242041767,10.402274672612531,9.82975,13.7,4
Tenengrad,12.19,6.617318187906639,10.518195456371991,10.44,13.950499999999996,5
Variance of Gradient,11.74,8.719082520540795,10.833724756162239,9.479500000000002,14.25025,6
Roberts Focus Measure,13.55,6.672518265242891,11.486755479572867,11.75975,15.450249999999999,7
Modified Tenengrad,13.03,9.764430346927567,12.05032910407827,10.399750000000001,15.700999999999993,8
Spatial Frequency,15.11,5.92308196802982,12.353924590408944,13.53,16.700249999999997,9
DCT Focus Measure,16.75,6.614567257198312,13.709370177159494,14.97,18.5,10
Fourier Transform Sharpness Index,15.88,8.88963441318033,13.7828903239541,13.469750000000001,18.250999999999994,11
Wavelet W1,17.9,5.769748694700662,14.260924608410196,16.2695,19.540499999999998,12
Curvelet Transform Sharpness Index,17.9,5.890670590009257,14.297201177002774,16.24,19.540249999999997,13
Wavelet Detail Energy (db1),17.92,5.868867011613059,14.304660103483918,16.29,19.55025,14
Fourier High Frequency Energy Ratio,16.24,9.963553582934152,14.357066074880244,13.5,19.01025,15
Wavelet W3,18.22,6.1880206851625825,14.610406205548774,16.45,19.99,16
Variance of Laplacian,16.38,10.615347380090771,14.650604214027231,13.51,19.3205,17
Wavelet W2,18.32,6.316454701808603,14.71893641054258,16.52,20.21,18
Sum Modified Laplacian,17.33,9.94716542538627,15.11514962761588,14.68,20.0505,19
Intensity Range Index,17.56,10.178722906141026,15.345616871842306,14.778000000000002,20.24,20
Normalized Variance,17.9,10.018981984213765,15.535694595264127,14.979500000000002,20.720499999999998,21
Laplacian Energy,17.76,10.43227683681755,15.561683051045266,14.819500000000001,20.580249999999996,22
Intensity Variance,18.19,9.490990464645932,15.580297139393782,15.46,20.87025,23
Absolute Central Moment 2,18.41,9.258882221953145,15.664664666585942,15.759500000000001,21.0,24
Absolute Central Moment 4,19.12,8.448408134080644,15.918522440224194,16.699,21.5,25
Mean Intensity,18.34,10.322519072397009,15.934755721719103,15.379000000000003,21.040749999999996,26
Intensity Skewness Index,17.63,12.389031439140027,16.05770943174201,14.279250000000001,20.970249999999997,27
GLCM Contrast,18.51,10.61955272127786,16.14286581638336,15.48,21.490249999999996,28
Image Power,19.17,9.311611031395158,16.21248330941855,16.58,21.6105,29
Mean Absolute Laplacian,19.76,9.092436417154646,16.559730925146397,17.1395,22.25,30
Maximal Intensity,18.96,11.606825578081201,16.75404767342436,15.76,22.02,31
Histogram Entropy,21.05,10.75,17.96,18.00975,24.02,32
