measure_name,overall_rank_mean,overall_rank_std,rank_generalization_score,bootstrap_ci_low,bootstrap_ci_high,final_rank
Brenner Gradient,11.88,7.250903391991924,10.491271017597578,9.979750000000001,13.860249999999999,1
Gradient Squared Energy,12.18,6.67889212369836,10.529667637109508,10.45,13.97025,2
Energy of Gradient,12.2,6.67682559304944,10.543047677914831,10.479250000000002,13.980499999999997,3
Squared Gradient,12.22,6.7016117464383145,10.564483523931495,10.459750000000001,13.97025,4
Tenengrad,12.42,6.677095176796568,10.69712855303897,10.669250000000002,14.17,5
Variance of Gradient,12.1,8.763560920082657,11.099068276024797,9.7895,14.560749999999997,6
Roberts Focus Measure,13.74,6.64623201520982,11.611869604562948,11.94,15.62,7
Modified Tenengrad,13.49,9.65426848601177,12.33928054580353,10.84975,16.13,8
Spatial Frequency,15.36,5.698280442379087,12.461484132713725,13.82,16.87,9
DCT Focus Measure,16.36,7.051978445798031,13.567593533739409,14.47,18.2505,10
Fourier Transform Sharpness Index,15.79,9.024461202753326,13.760338360825997,13.33,18.18,11
Wavelet W1,17.61,6.189741513181306,14.18392245395439,15.85975,19.3405,12
Curvelet Transform Sharpness Index,17.61,6.302610570231989,14.217783171069595,15.84,19.380249999999997,13
Wavelet Detail Energy (db1),17.63,6.283160032977038,14.225948009893111,15.87,19.380249999999997,14
Fourier High Frequency Energy Ratio,16.38,10.022255235225254,14.472676570567575,13.61,19.19025,15
Wavelet W3,17.93,6.595460560112538,14.52963816803376,16.04975,19.77,16
Wavelet W2,18.03,6.72042409376075,14.637127228128225,16.11,19.990499999999997,17
Variance of Laplacian,16.61,10.522019768086354,14.783605930425905,13.729250000000002,19.51,18
Normalized Variance,17.2,10.10643359449811,15.071930078349432,14.25,19.99,19
Intensity Variance,17.73,9.462668756751448,15.249800627025435,15.109250000000001,20.380249999999997,20
Sum Modified Laplacian,17.58,9.856145291136896,15.262843587341067,14.98975,20.3005,21
Absolute Central Moment 2,17.95,9.240806241881712,15.337241872564514,15.34,20.55,22
Intensity Range Index,17.7,10.282509421342633,15.474752826402788,14.799500000000002,20.44,23
Laplacian Energy,18.05,10.336464579342397,15.735939373802719,15.16975,20.88,24
Absolute Central Moment 4,19.09,8.367610172564207,15.873283051769262,16.63925,21.44,25
Mean Intensity,18.34,10.322519072397009,15.934755721719103,15.379000000000003,21.040749999999996,26
GLCM Contrast,18.2,10.88806686239573,16.006420058718717,15.05,21.27,27
Intensity Skewness Index,17.63,12.389031439140027,16.05770943174201,14.279250000000001,20.970249999999997,28
Image Power,19.2,9.330058949438637,16.23901768483159,16.59,21.640249999999998,29
Maximal Intensity,18.9,11.600431026474835,16.71012930794245,15.737500000000004,21.9405,30
Mean Absolute Laplacian,19.98,9.175489087781642,16.73864672633449,17.329749999999997,22.46,31
Histogram Entropy,20.91,10.743225772550812,17.85996773176524,17.86975,23.830249999999996,32
