measure_name,weighted_mean,weighted_std,generalization_score,dataset_weighting_mode,alpha,final_rank
Variance of Gradient,0.13808601206454343,0.0249839579663287,0.10415539583507902,equal_dataset,0.7,1
Energy of Gradient,0.14285831689503017,0.030475535092057682,0.10914348235413843,equal_dataset,0.7,2
Gradient Squared Energy,0.14286229702000333,0.030564583038272447,0.10917298282548406,equal_dataset,0.7,3
Squared Gradient,0.14288846885815426,0.03057948039045876,0.10919577231784561,equal_dataset,0.7,4
Tenengrad,0.1429728047450945,0.03048734229830995,0.10922716601105913,equal_dataset,0.7,5
Brenner Gradient,0.14455789044345616,0.0325831402582834,0.11096546538790433,equal_dataset,0.7,6
Modified Tenengrad,0.15804574606808924,0.030989495057295077,0.11992887076485098,equal_dataset,0.7,7
Fourier Transform Sharpness Index,0.1637613584297443,0.05069065482424951,0.12984014734809585,equal_dataset,0.7,8
Roberts Focus Measure,0.17877518611033863,0.0472861518402834,0.13932847582932206,equal_dataset,0.7,9
DCT Focus Measure,0.1975165494889793,0.043767667033204345,0.1513918847522468,equal_dataset,0.7,10
Spatial Frequency,0.19824391579231868,0.052661447112423376,0.15456917518835006,equal_dataset,0.7,11
Wavelet W1,0.22751297900522155,0.06678376775315491,0.17929421562960154,equal_dataset,0.7,12
Wavelet Detail Energy (db1),0.22756268029352875,0.06684341748840826,0.17934690145199259,equal_dataset,0.7,13
Curvelet Transform Sharpness Index,0.22778479526211926,0.06680724255151343,0.1794915294489375,equal_dataset,0.7,14
Wavelet W3,0.2287189489733669,0.0668341721237131,0.18015351591847076,equal_dataset,0.7,15
Wavelet W2,0.23026855754433462,0.06524935557419209,0.18076279695329187,equal_dataset,0.7,16
Normalized Variance,0.22484731154093016,0.09362445794771321,0.18548045546296507,equal_dataset,0.7,17
Intensity Variance,0.2325472918602017,0.09980135634145419,0.19272351120457745,equal_dataset,0.7,18
Absolute Central Moment 2,0.2327842218891455,0.0997648785299633,0.19287841888139082,equal_dataset,0.7,19
Absolute Central Moment 4,0.23147081219578206,0.10296567449944714,0.19291927088688157,equal_dataset,0.7,20
Fourier High Frequency Energy Ratio,0.2596842884478395,0.10823439448445528,0.2142493202588242,equal_dataset,0.7,21
Intensity Range Index,0.3082273279190394,0.07750100273985527,0.23900943036528416,equal_dataset,0.7,22
Sum Modified Laplacian,0.32010460990479545,0.13180474766269332,0.26361465123216477,equal_dataset,0.7,23
Variance of Laplacian,0.32507769311236384,0.13731076494183184,0.2687476146612042,equal_dataset,0.7,24
Laplacian Energy,0.33196656468652325,0.13833004982676125,0.27387561022859463,equal_dataset,0.7,25
Image Power,0.3458986639772505,0.12475248521803257,0.2795548103494851,equal_dataset,0.7,26
Mean Absolute Laplacian,0.3550880224971568,0.1332094076407789,0.2885244380402434,equal_dataset,0.7,27
Mean Intensity,0.40859660514485024,0.08470598485223087,0.3114294190570644,equal_dataset,0.7,28
GLCM Contrast,0.40352031431438057,0.16436741771191973,0.3317744453336423,equal_dataset,0.7,29
Intensity Skewness Index,0.4137640860562024,0.14144948191484313,0.3320697048137946,equal_dataset,0.7,30
Histogram Entropy,0.4088108755965956,0.1569823152645482,0.3332623074969814,equal_dataset,0.7,31
Maximal Intensity,0.425383976573508,0.13635378507044532,0.3386749191225892,equal_dataset,0.7,32
